M&A SDC Deal Number,Date Announced,Target Full Name,Acquiror Full Name,Date Effective,Acquiror 6-digit CUSIP,Target 6-digit CUSIP,SDC Deal No
4271161040,08/12/2024,OneSoft Solutions Inc,Irth Solutions LLC,11/01/2024,47400L,68276J,4271161040
4270264040,08/08/2024,Exscientia PLC,Recursion Pharmaceuticals Inc,11/20/2024,75629V,30223G,4270264040
4269490020,08/07/2024,PetIQ Inc,Gula Buyer Inc,10/25/2024,6Q3763,71639T,4269490020
4269898020,08/07/2024,G1 Therapeutics Inc,Pharmacosmos Therapeutics Inc,09/18/2024,6Q4020,3621LQ,4269898020
4270187020,08/07/2024,CompoSecure Inc,Resolute Holdings I LP,09/17/2024,6Q4239,20459V,4270187020
4331208020,08/06/2024,Royal Caribbean Cruises Ltd,Creditors,08/20/2024,22542Z,V7780T,4331208020
4341338020,07/29/2024,Royal Caribbean Cruises Ltd,Royal Caribbean Cruises Ltd,08/12/2024,V7780T,V7780T,4341338020
4304655020,07/26/2024,WesBanco Inc,Investor Group,08/01/2024,46145M,950810,4304655020
4236158020,07/25/2024,Instructure Holdings Inc,Investor Group,11/13/2024,46145M,457790,4236158020
4270036020,07/25/2024,2U Inc,Creditors,09/13/2024,22542Z,90214J,4270036020
4269973020,07/24/2024,Pieris Pharmaceuticals Inc,Palvella Therapeutics Inc,12/13/2024,3K7228,720795,4269973020
4262801040,07/22/2024,Arvida Group Ltd,Stonepeak Partners LP,11/20/2024,93663R,4C1911,4262801040
4269484020,07/22/2024,AMC Entertainment Holdings Inc,Bondholders,07/22/2024,09788F,00165C,4269484020
4262894020,07/19/2024,Augmedix Inc,Commure Inc,10/02/2024,1H2904,05105P,4262894020
4262916040,07/19/2024,Lithium Energi Exploration Inc,Arena Investors LP,11/22/2024,7C6402,53680T,4262916040
4280000020,07/18/2024,Atmus Filtration Technologies Inc,Atmus Filtration Technologies Inc,07/18/2024,04956D,04956D,4280000020
4262061040,07/17/2024,G2 Goldfields Inc,Investor Group,08/01/2024,46145M,36256R,4262061040
4262399020,07/17/2024,Chuy's Holdings Inc,Darden Restaurants Inc,10/11/2024,237194,171604,4262399020
4261676040,07/16/2024,Global Energy Metals Corp,Investor Group,07/22/2024,46145M,37890Y,4261676040
4261211040,07/15/2024,Stelco Holdings Inc,Cleveland-Cliffs Inc,11/01/2024,185899,858522,4261211040
4261350040,07/15/2024,Tectonic Metals Inc,Investor Group,08/19/2024,46145M,87877T,4261350040
4261040040,07/12/2024,Zinitix Co Ltd,Halo Microelectronics International Corp,08/29/2024,4N1891,4L2757,4261040040
4278585040,07/12/2024,Affluent Medical SA,Edwards Lifesciences Corp,07/12/2024,28176E,4H6139,4278585040
4223237020,07/11/2024,Envestnet Inc,BCPE Pequod Buyer Inc,11/25/2024,5Q6597,29404K,4223237020
4261321020,07/11/2024,Alpha Teknova Inc,Investor Group,07/12/2024,46145M,02080L,4261321020
4258523020,07/08/2024,Morphic Holding Inc,Eli Lilly & Co,08/16/2024,532457,61775R,4258523020
4260609020,07/08/2024,KLDiscovery Inc,Creditors,08/14/2024,22542Z,498455,4260609020
4267388020,07/05/2024,R1 RCM Inc,Raven Acquisition Holdings LLC,11/19/2024,6Q2492,77634L,4267388020
4258438020,07/02/2024,First Foundation Inc,Investor Group,07/09/2024,46145M,32026V,4258438020
4275383020,07/02/2024,Talen Energy Corp,Talen Energy Corp,07/19/2024,87422J,87422J,4275383020
4257488020,07/01/2024,Chewy Inc,Keith Gill,07/01/2024,5Q4983,16679L,4257488020
4262012020,07/01/2024,ModivCare Inc,ModivCare Inc,07/01/2024,60783X,60783X,4262012020
4263861020,06/29/2024,Advanced Micro Devices Inc,Investor Group,06/29/2024,46145M,007903,4263861020
4255192040,06/28/2024,Optrontec Inc,Choisangho Corp,07/15/2024,5N3064,68479K,4255192040
4255210020,06/27/2024,Griid Infrastructure Inc,CleanSpark Inc,10/30/2024,18452B,398501,4255210020
4259876020,06/27/2024,Vigil Neuroscience Inc,Aventis Inc,07/09/2024,0Q6635,92673K,4259876020
4254140020,06/26/2024,Agile Therapeutics Inc,Exeltis Project Inc,08/26/2024,5Q2475,00847L,4254140020
4254345020,06/25/2024,Rivian Automotive Inc,Volkswagen International America Inc,11/12/2024,5Q2637,76954A,4254345020
4255717020,06/25/2024,Hess Midstream LP,Hess Midstream LP,06/26/2024,428103,428103,4255717020
4253868020,06/24/2024,Regis Corp,Regis Corp,06/24/2024,758932,758932,4253868020
4253914020,06/24/2024,XS Financial Inc,XS Acquisition Portfolio LLC,09/30/2024,5Q2237,5Q2181,4253914020
4254260020,06/24/2024,Alimera Sciences Inc,ANI Pharmaceuticals Inc,09/16/2024,00182C,016259,4254260020
4258878040,06/24/2024,Skeena Resources Ltd,Orion Resource Partners (USA) LP,06/24/2024,2K3326,83056P,4258878040
4258965020,06/24/2024,Hut 8 Corp,Coatue Tactical Solutions Lending Holdings AIV 3 LP,07/01/2024,5Q5916,44812T,4258965020
4251277040,06/21/2024,K2fly Ltd,Accel-KKR Co LLC,09/27/2024,00469Q,4F5359,4251277040
4251705020,06/21/2024,Sharecare Inc,Altaris LLC,10/22/2024,02162Y,6L5155,4251705020
4250507040,06/20/2024,Radiopharm Theranostics Ltd,Lantheus Holdings Inc,06/25/2024,516544,7L5086,4250507040
4255548020,06/20/2024,Sezzle Inc,Sezzle Inc,12/31/2024,78435P,78435P,4255548020
4249151020,06/18/2024,Silk Road Medical Inc,Boston Scientific Corp,09/17/2024,101137,82710M,4249151020
4258506040,06/18/2024,Mayex USA Inc,Orbit Beyond Inc,06/18/2024,5Q0954,5Q3683,4258506040
4248924020,06/17/2024,Aaron's Co Inc,IQventures Corp LLC,10/03/2024,0K5052,00258W,4248924020
4248951020,06/17/2024,Primo Water Corp,BlueTriton Brands Inc,11/08/2024,1M1471,74167P,4248951020
4249747020,06/17/2024,Vapotherm Inc,Perceptive Advisors LLC,09/20/2024,71355P,922107,4249747020
4246645040,06/12/2024,A8 New Media Group Ltd,LuxOrigo Investment Ltd,09/20/2024,4Q7186,9C1726,4246645040
4246598040,06/11/2024,PGS ASA,Glazer Capital LLC,06/11/2024,2F5819,0K0766,4246598040
4246745020,06/11/2024,micromobility.com Inc,Palella Holdings LLC,06/11/2024,1Q6689,42309B,4246745020
4245324040,06/10/2024,Sun Corp,Hebara Holdco II LP,08/15/2024,4Q6105,86685R,4245324040
4245613020,06/10/2024,Conduent Inc,Conduent Inc,06/10/2024,206787,206787,4245613020
4232029020,06/07/2024,Powerschool Holdings Inc,BCPE Polymath Buyer Inc,10/01/2024,4Q5659,73939C,4232029020
4244966020,06/07/2024,Asensus Surgical Inc,Karl Storz Endoscopy-America Inc,08/22/2024,48571Y,04367G,4244966020
4288821020,06/07/2024,iSun Inc,Original Clean Energy,08/30/2024,7Q8086,465246,4288821020
4242052040,06/04/2024,Railtown AI Technologies Inc,Investor Group,06/07/2024,46145M,750763,4242052040
4245736020,06/04/2024,AAON Inc,AAON Inc,06/17/2024,000360,000360,4245736020
4241510020,06/03/2024,Stericycle Inc,Waste Management Inc,11/04/2024,94106L,858912,4241510020
4241953040,06/03/2024,Lithium Ionic Corp,Investor Group,06/06/2024,46145M,53680V,4241953040
4241056040,05/30/2024,RIV Capital Inc,Cansortium Inc,12/19/2024,13809L,768014,4241056040
4240168020,05/29/2024,Marathon Oil Corp,ConocoPhillips,11/22/2024,20825C,565849,4240168020
4240472020,05/29/2024,Akili Inc,Virtual Therapeutics Corp,07/02/2024,4Q3124,00974B,4240472020
4255543020,05/29/2024,Talen Energy Corp,Talen Energy Corp,06/13/2024,87422J,87422J,4255543020
4337949020,05/29/2024,Ottawa Savings Bancorp Inc,Ottawa Savings Bancorp Inc,12/20/2024,68955R,68955R,4337949020
4239678040,05/28/2024,Yuil Robotics Co Ltd,SK Battery America Inc,06/28/2024,4K0389,3M4033,4239678040
4240056020,05/28/2024,Atrion Corp,Nordson Corp,08/21/2024,655663,049904,4240056020
4238444020,05/24/2024,Keypath Education International Inc,Karpos Intermediate LLC,09/11/2024,4Q1827,4L4166,4238444020
4238388020,05/21/2024,BuzzFeed Inc,Vivek Ramaswamy,05/21/2024,9M9423,12430A,4238388020
4239978020,05/21/2024,Priority Technology Holdings Inc,Priority Technology Holdings Inc,05/21/2024,74275G,74275G,4239978020
4240270020,05/21/2024,MyMD Pharmaceuticals Inc,Pharmacyte Biotech Inc,05/23/2024,71715X,8K6648,4240270020
4236675020,05/20/2024,Bay Community Bancorp,CBC Bancorp Inc,11/01/2024,4Q0743,7M0071,4236675020
4235533020,05/16/2024,SilverBow Resources Inc,Crescent Energy Co,07/30/2024,44952J,82836G,4235533020
4234912020,05/15/2024,HMN Financial Inc,Alerus Financial Corp,10/09/2024,01446U,40424G,4234912020
4257861020,05/15/2024,Barnes & Noble Education Inc,Investor Group,06/10/2024,46145M,06777U,4257861020
4247239040,05/14/2024,Forward Pharma A/S,Mason Capital Management LLC,08/08/2024,57519X,2C2379,4247239040
4233709020,05/13/2024,Squarespace Inc,Spaceship Purchaser Inc,10/17/2024,8Q6075,85225A,4233709020
4251732020,05/13/2024,Incyte Corp,Incyte Corp,06/13/2024,45337C,45337C,4251732020
4232444020,05/06/2024,Appgate Inc,Creditors,07/02/2024,22542Z,653243,4232444020
4230719020,05/03/2024,Charge Enterprises Inc,Arena Investors LP,05/03/2024,7C6402,159610,4230719020
4315217020,05/03/2024,Blackrock Municipal Income Fund Inc,Blackrock Municipal Income Fund Inc,11/15/2024,09253X,09253X,4315217020
4230229040,05/02/2024,HighGold Mining Inc,Contango ORE Inc,07/10/2024,21077F,42984V,4230229040
4229818020,05/01/2024,DecisionPoint Systems Inc,Barcoding Derby Buyer Inc,07/05/2024,3Q4280,24345A,4229818020
4239514020,05/01/2024,Office Properties Income Trust,Bondholders,06/18/2024,09788F,67623C,4239514020
4234014040,04/30/2024,Kerry Group PLC,Integrity Web Consulting Inc,04/30/2024,3Q9001,49245Q,4234014040
4329068020,04/30/2024,Emergent BioSolutions Inc,Emergent BioSolutions Inc,09/03/2024,29089Q,29089Q,4329068020
4229843020,04/29/2024,Blend Labs Inc,Whanau Interests LLC,04/29/2024,1N4728,09352U,4229843020
4229899020,04/29/2024,Kosmos Energy Ltd,Kosmos Energy Ltd,04/29/2024,500688,500688,4229899020
4227653020,04/26/2024,US Silica Holdings Inc,Star Holding LLC,07/31/2024,3Q1343,90346E,4227653020
4227776040,04/26/2024,Medicenna Therapeutics Corp,RA Capital Healthcare Fund LP,04/30/2024,0E8830,58490H,4227776040
4230165020,04/26/2024,Yum! Brands Inc,Yum! Brands Inc,04/26/2024,988498,988498,4230165020
4226950020,04/25/2024,AssetMark Financial Holdings Inc,GTCR Everest Borrower LLC,09/05/2024,3Q1058,04546L,4226950020
4242029020,04/24/2024,Cidara Therapeutics Inc,Investor Group,04/24/2024,46145M,171757,4242029020
4225177040,04/22/2024,Base Resources Ltd,Energy Fuels Inc,09/13/2024,292671,06980C,4225177040
4225228040,04/22/2024,Tyman PLC,Quanex Building Products Corp,08/01/2024,747619,G9161J,4225228040
4226620020,04/19/2024,Brandywine Realty Trust,Bondholders,04/22/2024,09788F,105368,4226620020
4232488040,04/19/2024,Medica SpA,Donaldson Co Inc,08/12/2024,257651,8F9545,4232488040
4226454020,04/18/2024,Zura Bio Ltd,Investor Group,04/22/2024,46145M,G9TY5A,4226454020
4226996020,04/18/2024,Smart for Life Inc,Creditors,04/23/2024,22542Z,83204U,4226996020
4213978020,04/17/2024,NanoString Technologies Inc,Bruker Corp,05/06/2024,116794,63009R,4213978020
4224645020,04/17/2024,SL Green Realty Corp,SL Green Realty Corp,04/17/2024,78440X,78440X,4224645020
4222390020,04/15/2024,Snap One Holdings Corp,Resideo Technologies Inc,06/14/2024,76118Y,83303Y,4222390020
4222632020,04/15/2024,Macatawa Bank Corp,Wintrust Financial Corp,08/01/2024,97650W,554225,4222632020
4222521020,04/12/2024,Progressive Care Inc,NextPlat Corp,10/01/2024,68557F,74332G,4222521020
4221144020,04/10/2024,Alpine Immune Sciences Inc,Vertex Pharmaceuticals Inc,05/20/2024,92532F,02083G,4221144020
4220551020,04/09/2024,Inrad Optics Inc,Luxium Solutions Inc,07/02/2024,2Q8333,45779C,4220551020
4219822020,04/08/2024,Apartment Income REIT Corp,Blackstone Real Estate Partners X LP,06/28/2024,0N2024,03750L,4219822020
4219823020,04/08/2024,Model N Inc,Mountain Parent LLC,06/27/2024,2Q7217,607525,4219823020
4215552020,04/05/2024,Shockwave Medical Inc,Johnson & Johnson,05/31/2024,478160,82489T,4215552020
4219530020,04/05/2024,Safety Shot Inc,Core 4 Capital Corp,04/05/2024,2Q6997,48208F,4219530020
4221911020,04/03/2024,RadNet Inc,RadNet Inc,04/18/2024,750491,750491,4221911020
4225875020,04/02/2024,Fortress Transportation & Infrastructure Investors LLC,Bondholders,04/11/2024,09788F,34960P,4225875020
4230923020,04/02/2024,Virtus Total Return Fund Inc,Virtus Total Return Fund Inc,05/02/2024,92837G,92837G,4230923020
4209470040,04/01/2024,Nuvei Corp,Neon Maple Purchaser Inc,11/15/2024,9Q5576,67079A,4209470040
4217917020,04/01/2024,AdTheorent Holding Co Inc,Cadent LLC,06/21/2024,12538J,00739D,4217917020
4218537020,04/01/2024,Mister Car Wash Inc,Mister Car Wash Inc,04/01/2024,60646V,60646V,4218537020
4218827020,03/31/2024,Airspan Networks Holdings Inc,Creditors,10/11/2024,22542Z,00951K,4218827020
4216537020,03/28/2024,Integrated Financial Holdings Inc,Capital Bancorp Inc,10/01/2024,139737,45827J,4216537020
4216712020,03/28/2024,Doma Holdings Inc,Title Resources Group LLC,09/27/2024,6N3301,7L2128,4216712020
4218480020,03/28/2024,Power Solutions International Inc,Power Solutions International Inc,03/28/2024,73933G,73933G,4218480020
4214884040,03/27/2024,Civitanavi Systems SpA,Honeywell International Inc,08/26/2024,438516,3M1854,4214884040
4214787020,03/26/2024,Touchstone Bank,"First National Corp,Strasburg, Virginia",10/01/2024,32106V,9F8350,4214787020
4213643020,03/25/2024,Landos Biopharma Inc,Bespin Subsidiary LLC,05/23/2024,2Q3481,515069,4213643020
4215609020,03/25/2024,CURO Group Holdings Corp,Bondholders,07/19/2024,09788F,23131L,4215609020
4212315040,03/21/2024,New Zealand Energy Corp,Investor Group,05/09/2024,46145M,650158,4212315040
4212798020,03/19/2024,PureTech Health PLC,PureTech Health PLC,06/24/2024,G7297M,G7297M,4212798020
4214259020,03/19/2024,Greenwave Technology Solutions Inc,Greenwave Technology Solutions Inc,03/19/2024,57630J,57630J,4214259020
4235208020,03/19/2024,Endo International PLC,Endo Inc,04/23/2024,29302P,G30401,4235208020
4211829020,03/18/2024,Joann Inc,Joann Inc,04/30/2024,47768J,47768J,4211829020
4242215020,03/18/2024,Bexil Corp,Bexil Corp,05/07/2024,088577,088577,4242215020
4208938020,03/14/2024,Rackspace Technology Inc,Bondholders,04/12/2024,09788F,750102,4208938020
4209901020,03/14/2024,Valvoline Inc,Bondholders,04/15/2024,09788F,92047W,4209901020
4207685040,03/13/2024,TrueContext Corp,Battery Ventures LP,05/16/2024,07133V,897927,4207685040
4208722020,03/13/2024,Installed Building Products Inc,Installed Building Products Inc,03/28/2024,45780R,45780R,4208722020
4156515020,03/12/2024,Enviva Inc,Creditors,12/06/2024,22542Z,29415B,4156515020
4205818040,03/11/2024,TASK Group Holdings Ltd,PAR Technology Corp,07/10/2024,698884,Q8861L,4205818040
4205879020,03/11/2024,Equitrans Midstream Corp,EQT Investments Holdings LLC,07/22/2024,1Q8798,294600,4205879020
4206264040,03/11/2024,mdf commerce inc,KKR Ascendant Fund SCSp,05/17/2024,1Q8846,55283M,4206264040
4207975020,03/11/2024,Hess Midstream LP,Hess Midstream LP,03/14/2024,428103,428103,4207975020
4221640020,03/08/2024,Sabre Corp,Bondholders,03/08/2024,09788F,78573M,4221640020
4203858020,03/07/2024,New York Community Bancorp Inc,Investor Group,03/11/2024,46145M,649445,4203858020
4204627020,03/07/2024,Superior Drilling Products Inc,Drilling Tools International Corp,08/06/2024,26205E,868153,4204627020
4204718020,03/07/2024,Astra Space Inc,Investor Group,07/18/2024,46145M,04634X,4204718020
4212744040,03/07/2024,Bharti Airtel Ltd,GQG Partners Inc,03/07/2024,8L3300,08898H,4212744040
4206173020,03/04/2024,The LS Starrett Co,MiddleGround Capital LLC,06/05/2024,2J9495,855668,4206173020
4221633020,03/04/2024,Sabre Corp,Bondholders,03/19/2024,09788F,78573M,4221633020
4206388040,03/02/2024,Ciscom Corp,DLT Resolution Inc,03/02/2024,23342U,17282B,4206388040
4204709020,03/01/2024,Empire Diversified Energy Inc,Vivakor Inc,10/30/2024,92852R,28500R,4204709020
4200742040,02/29/2024,EMvision Medical Devices Ltd,Keysight Technologies Inc,03/01/2024,49338L,7H9561,4200742040
4200961020,02/29/2024,Sterling Check Corp,First Advantage Corp,10/31/2024,31846B,85917T,4200961020
4201489020,02/29/2024,The RealReal Inc,Creditors,02/29/2024,22542Z,88339P,4201489020
4201043020,02/28/2024,Societal CDMO Inc,CoreRx Inc,04/08/2024,5A8451,75629F,4201043020
4201405020,02/28/2024,Liberty Defense Holdings Ltd,Viken Detection Corp,02/28/2024,5L1218,53044R,4201405020
4215654020,02/27/2024,Cumulus Media Inc,Bondholders,05/02/2024,09788F,231082,4215654020
4261467020,02/27/2024,AB&T Financial Corp,Commercial Bancgroup Inc,07/01/2024,20111K,00037W,4261467020
4198932040,02/26/2024,Alumina Ltd,Alcoa Corp,08/01/2024,138721,022205,4198932040
4199261020,02/26/2024,Agiliti Inc,Apex Intermediate HoldCo Inc,05/07/2024,1Q4840,00819V,4199261020
4200378020,02/26/2024,South Plains Financial Inc,South Plains Financial Inc,12/31/2024,83946P,83946P,4200378020
4200965040,02/26/2024,Wincanton PLC,GXO Logistics Inc,04/29/2024,36262G,97265H,4200965040
4202124040,02/26/2024,Mainstay Medical International PLC,Investor Group,02/26/2024,46145M,9A7310,4202124040
4207193020,02/25/2024,CorEnergy Infrastructure Trust Inc,Creditors,06/12/2024,22542Z,21870U,4207193020
4211641040,02/23/2024,Tavernier Resources Ltd,Amit Vedawala,07/12/2024,2Q2012,92072L,4211641040
4200283020,02/22/2024,Vestis Corp,Vestis Corp,02/22/2024,6P0089,6P0089,4200283020
4197396040,02/21/2024,Enerplus Corp,Chord Energy Corp,05/31/2024,674215,292766,4197396040
4194628020,02/20/2024,Vizio Holding Corp,Walmart Inc,12/03/2024,931142,92858V,4194628020
4201674020,02/20/2024,Intercontinental Exchange Inc,Bondholders,02/28/2024,09788F,45866F,4201674020
4196436020,02/16/2024,MariaDB PLC,Meridian BidCo LLC,07/23/2024,5Q1163,G5920M,4196436020
4196462020,02/16/2024,Kinnate Biopharma Inc,XOMA Corp,04/03/2024,98419J,49705R,4196462020
4197488040,02/15/2024,Athabasca Minerals Inc,Badger Mining Corp,04/26/2024,06127Z,046826,4197488040
4195085020,02/14/2024,Invitae Corp,Creditors,08/07/2024,22542Z,46185L,4195085020
4195657020,02/14/2024,Cogent Biosciences Inc,Investor Group,02/16/2024,46145M,19240Q,4195657020
4206353040,02/14/2024,Ciscom Corp,DLT Resolution Inc,02/14/2024,23342U,17282B,4206353040
4324347040,02/14/2024,enGene Holdings Inc,Investor Group,02/20/2024,46145M,29286M,4324347040
4193997020,02/12/2024,CymaBay Therapeutics Inc,Pacific Merger Sub Inc,03/22/2024,1Q1487,23257D,4193997020
4194994020,02/12/2024,CNX Resources Corp,Bondholders,02/19/2024,09788F,12653C,4194994020
4193549020,02/09/2024,Masonite International Corp,Owens Corning,05/15/2024,690742,575385,4193549020
4192925020,02/07/2024,Cencora Inc,Cencora Inc,02/09/2024,03073E,03073E,4192925020
4214117020,02/07/2024,Office Properties Income Trust,Office Properties Income Trust,02/12/2024,67623C,67623C,4214117020
4192307020,02/06/2024,ZeroFox Holdings Inc,Whanau Interests LLC,05/13/2024,1N4728,8M9913,4192307020
4147707040,02/05/2024,HealthBeacon PLC,Hamilton Beach Health LLC,02/05/2024,0Q8378,1M6984,4147707040
4191415020,02/05/2024,Everbridge Inc,Project Emerson Parent LLC,07/02/2024,0Q8319,29978A,4191415020
4191505020,02/05/2024,Haynes International Inc,North American Stainless Inc,11/21/2024,65715E,420877,4191505020
4194000020,02/05/2024,Aclarion Inc,Creditors,02/05/2024,22542Z,655187,4194000020
4224658020,02/04/2024,NanoString Technologies Inc,Bondholders,06/26/2024,09788F,63009R,4224658020
4240663020,02/04/2024,Cano Health Inc,Creditors,06/28/2024,22542Z,13781Y,4240663020
4194681020,02/01/2024,Etsy Inc,Elliott Investment Management LP,02/01/2024,1L5453,29786A,4194681020
4233080020,02/01/2024,Bowlin Travel Centers Inc,Bowlin Travel Centers Inc,05/06/2024,10259P,10259P,4233080020
4188327020,01/30/2024,California Bancorp,Southern California Bancorp,07/31/2024,842398,13005U,4188327020
4197119020,01/30/2024,Gray Television Inc,Gray Television Inc,02/16/2024,389375,389375,4197119020
4188127040,01/29/2024,The Tinley Beverage Co Inc,Press Media LLC,01/29/2024,0Q6914,887544,4188127040
4188667020,01/29/2024,Overseas Shipholding Group Inc,Saltchuk Resources Inc,07/10/2024,79620Q,690368,4188667020
4188789020,01/29/2024,Arcus Biosciences Inc,Gilead Sciences Inc,01/29/2024,375558,03969F,4188789020
4193044020,01/29/2024,PlayAGS Inc,PlayAGS Inc,02/05/2024,72814N,72814N,4193044020
4193063020,01/29/2024,Science 37 Holdings Inc,eMed LLC,03/12/2024,4L1005,808644,4193063020
4214181020,01/29/2024,Office Properties Income Trust,Office Properties Income Trust,01/29/2024,67623C,67623C,4214181020
4187514040,01/25/2024,Life Healthcare Group Holdings Ltd,Lazard Asset Management LLC,01/25/2024,52114X,53188E,4187514040
4186949040,01/24/2024,MediaValet Inc,STG Partners LLC,04/02/2024,87137Q,58450L,4186949040
4267393020,01/24/2024,Fair Isaac Corp,Fair Isaac Corp,07/29/2024,303250,303250,4267393020
4186208020,01/23/2024,Inhibrx Inc,Aventis Inc,05/30/2024,0Q6635,45720L,4186208020
4185988020,01/22/2024,NuStar Energy LP,Sunoco LP,05/03/2024,86765K,67058H,4185988020
4187162020,01/22/2024,Magnite Inc,Magnite Inc,02/06/2024,55955D,55955D,4187162020
4187425020,01/22/2024,MiMedX Group Inc,MiMedX Group Inc,01/22/2024,602496,602496,4187425020
4195277040,01/22/2024,Smartspace Software PLC,Sign In Solutions Inc,05/02/2024,1N4212,7H6193,4195277040
4185428020,01/19/2024,Kaman Corp,Ovation Parent Inc,04/19/2024,0Q4833,483548,4185428020
4185448040,01/19/2024,Tricon Residential Inc,Investor Group,05/01/2024,46145M,89612W,4185448040
4184823020,01/18/2024,MDC Holdings Inc,SH Residential Holdings LLC,04/19/2024,0Q4419,552676,4184823020
4185333020,01/18/2024,Cornerstone Financial Corp,Princeton Bancorp Inc,08/23/2024,064520,21925G,4185333020
4197203020,01/18/2024,NGL Energy Partners LP,NGL Energy Partners LP,02/02/2024,62913M,62913M,4197203020
4184114020,01/16/2024,Ameridge Corp,Ek Line Inc,01/16/2024,0Q3849,5L6366,4184114020
4210401040,01/15/2024,Bakkavor Group PLC,LongRange Capital Fund I LP,01/18/2024,2Q1338,9F7777,4210401040
